t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,Fx,Fy,Fz,taux,tauy,tauz
0.675,0.2025,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.68,0.204,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.685,0.2055,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.6900000000000001,0.207,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.6950000000000001,0.2085,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.7000000000000001,0.21,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.705,0.2115,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.71,0.213,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.715,0.2145,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.72,0.216,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.725,0.2175,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.73,0.219,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.735,0.2205,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.74,0.222,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.745,0.2235,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.75,0.225,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.755,0.2265,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.76,0.228,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.765,0.2295,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
0.77,0.231,0.0,0.915234415,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49050000000000005,0.0,0.0,0.0
